,question,answer
2074,don't vacuum it now.,don't you want me to clean up the mud?
2075,don't you want me to clean up the mud?,wait till it dries. it will be easier to vacuum.
2076,wait till it dries. it will be easier to vacuum.,next time i will be more careful.
2077,what are you getting for your mom?,what are you talking about?
2078,what are you talking about?,sunday is mother's day.
2079,sunday is mother's day.,this sunday?
2080,this sunday?,of course. it's all over the news.
2081,of course. it's all over the news.,i thought it was next sunday.
2082,i thought it was next sunday.,"well, you'd better get her something."
2083,"well, you'd better get her something.",i'll get her a nice card.
2084,i'll get her a nice card.,is that it?
2085,is that it?,yes. that's all i ever give her.
2086,yes. that's all i ever give her.,"she raised you, and all you ever give her is a card?"
2087,"she raised you, and all you ever give her is a card?",it's okay. she knows that i love her.
2088,i don't like our flag.,what's the matter with it?
2089,what's the matter with it?,it's too much like other flags.
2090,it's too much like other flags.,"yes, a lot of flags have stripes."
2091,"yes, a lot of flags have stripes.",a flag should be pretty.
2092,a flag should be pretty.,what should our flag look like?
2093,what should our flag look like?,it should have a pretty woman on it.
2094,it should have a pretty woman on it.,that's ridiculous!
2095,that's ridiculous!,you don't like pretty women?
2096,you don't like pretty women?,of course i do. but not on our flag!
2097,of course i do. but not on our flag!,every nation should have a pretty woman on their flag.
2098,every nation should have a pretty woman on their flag.,you can't go to war carrying a flag with a woman on it!
2099,i had a busy morning.,what did you do?
2100,what did you do?,i watered all the plants.
2101,i watered all the plants.,you have a lot of plants.
2102,you have a lot of plants.,then i did my laundry.
2103,then i did my laundry.,that takes some time.
2104,that takes some time.,i took the dog for a walk.
2105,i took the dog for a walk.,i'll bet he enjoyed his walk.
2106,i'll bet he enjoyed his walk.,i vacuumed the entire house.
2107,i vacuumed the entire house.,that's a lot of work.
2108,that's a lot of work.,and then i made lunch.
2109,and then i made lunch.,i'll bet you were hungry!
2110,i don't have long distance service with my home phone.,so how do you make long distance calls?
2111,so how do you make long distance calls?,i use a calling card.
2112,i use a calling card.,where do you get that?
2113,where do you get that?,i buy it at the dollar store.
2114,i buy it at the dollar store.,how much is it?
2115,how much is it?,it's one dollar for 100 minutes.
2116,it's one dollar for 100 minutes.,that's only a penny a minute!
2117,that's only a penny a minute!,it's a great price. but you have to dial a lot of numbers.
2118,it's a great price. but you have to dial a lot of numbers.,how many?
2119,how many?,"first you dial seven numbers, then ten numbers, then ten more numbers."
2120,"first you dial seven numbers, then ten numbers, then ten more numbers.",yikes. i think i'll keep my long distance service.
2121,do you go to college?,"yes, i do."
2122,"yes, i do.",what college do you go to?
2123,what college do you go to?,i go to pasadena city college.
2124,i go to pasadena city college.,do you like it?
2125,do you like it?,"oh, yes, i really like it."
2126,"oh, yes, i really like it.",why do you like it?
2127,why do you like it?,because it has great teachers.
2128,because it has great teachers.,what else?
2129,what else?,"i like all my classmates, too."
2130,"i like all my classmates, too.",anything else?
2131,anything else?,yes. it's not expensive!
2132,i lost my new pen.,where did you lose it?
2133,where did you lose it?,i don't know.
2134,i don't know.,when did you lose it?
2135,when did you lose it?,i think i lost it today. i used it yesterday.
2136,i think i lost it today. i used it yesterday.,did you check all your pockets?
2137,did you check all your pockets?,i checked all my pockets.
2138,i checked all my pockets.,did you look in your desk?
2139,did you look in your desk?,"yes. it isn't there, either."
2140,"yes. it isn't there, either.",it's probably around somewhere.
2141,it's probably around somewhere.,"oh, well, it only cost me a dollar."
2142,"oh, well, it only cost me a dollar.",only a dollar? don't even look for it.
2143,gravity is very important.,what is gravity?
2144,what is gravity?,it's the force that pulls everything down.
2145,it's the force that pulls everything down.,i don't understand.
2146,i don't understand.,"if you pour water into a glass, the water goes down into the glass."
2147,"if you pour water into a glass, the water goes down into the glass.",of course it does.
2148,of course it does.,"without gravity, the water would go up."
2149,"without gravity, the water would go up.",you're joking.
2150,you're joking.,"without gravity, you would go up."
2151,"without gravity, you would go up.",what do you mean?
2152,what do you mean?,you would float into the sky like a balloon.
2153,you would float into the sky like a balloon.,that would be fun!
2154,i can't read my book.,turn on the light.
2155,turn on the light.,the light is on.
2156,the light is on.,open the book.
2157,open the book.,the book is open.
2158,the book is open.,see an eye doctor.
2159,see an eye doctor.,that's what i need to do.
2160,that's what i need to do.,he'll give you a prescription for glasses.
2161,he'll give you a prescription for glasses.,i'll make an appointment tomorrow.
2162,i'll make an appointment tomorrow.,i'll get the yellow pages for an eye doctor.
2163,i'll get the yellow pages for an eye doctor.,read the phone number to me.
2164,read the phone number to me.,"i'll read it very loud, in case your hearing is getting bad, too."
2165,what do you need for school?,i need pencils.
2166,i need pencils.,anything else?
2167,anything else?,i need a notebook.
2168,i need a notebook.,do you need a pen?
2169,do you need a pen?,no. i already have a pen.
2170,no. i already have a pen.,do you need a calculator?
2171,do you need a calculator?,no. the teacher doesn't permit calculators.
2172,no. the teacher doesn't permit calculators.,how about a dictionary?
2173,how about a dictionary?,"no, we have a big dictionary in the classroom."
2174,"no, we have a big dictionary in the classroom.","well, i guess that's it."
2175,"well, i guess that's it.","yes, that's all i need for now."
2176,i like this magazine.,so do i.
2177,so do i.,"i read it once, and i subscribed."
2178,"i read it once, and i subscribed.",it gives you all the news.
2179,it gives you all the news.,all the news in only 50 pages.
2180,all the news in only 50 pages.,i like the political cartoons.
2181,i like the political cartoons.,i like the beautiful photos of the houses for sale.
2182,i like the beautiful photos of the houses for sale.,i always read the film reviews.
2183,i always read the film reviews.,i never miss the food and drink section.
2184,i never miss the food and drink section.,i gave a subscription to my parents.
2185,i gave a subscription to my parents.,me too. they canceled their other news magazines.
2186,me too. they canceled their other news magazines.,so did mine!
2187,my pen is out of ink.,shake it a couple of times.
2188,shake it a couple of times.,i shook it. there is no more ink.
2189,i shook it. there is no more ink.,you can borrow mine.
2190,you can borrow mine.,thank you. i'll buy a new one tomorrow.
2191,thank you. i'll buy a new one tomorrow.,what were you doing?
2192,what were you doing?,i was writing a letter.
2193,i was writing a letter.,who were you writing to?
2194,who were you writing to?,it's to my mom.
2195,it's to my mom.,tell her i said hello.
2196,tell her i said hello.,okay. i'll return your pen when i'm done.
2197,okay. i'll return your pen when i'm done.,take your time.
2198,have you done your homework?,not yet.
2199,not yet.,then why are you watching tv?
2200,then why are you watching tv?,this is my favorite show.
2201,this is my favorite show.,go do your homework.
2202,go do your homework.,"but, mom!"
2203,"but, mom!",you can watch tv after you do your homework.
2204,you can watch tv after you do your homework.,but the show will be over.
2205,but the show will be over.,there will be another show next week.
2206,there will be another show next week.,please?
2207,please?,you know the rules.
2208,you know the rules.,i hate the rules! i can't wait till i grow up.
2209,i can't wait until i graduate.,me too.
2210,me too.,no more homework.
2211,no more homework.,i hate homework.
2212,i hate homework.,are you going to college?
2213,are you going to college?,i can't afford it.
2214,i can't afford it.,me neither.
2215,me neither.,so what are you going to do?
2216,so what are you going to do?,i'm joining the army.
2217,i'm joining the army.,you're kidding. you might get killed.
2218,you're kidding. you might get killed.,"i don't think so. after i finish, i'll have enough money to go to college."
2219,"i don't think so. after i finish, i'll have enough money to go to college.",that's not a bad idea.
2220,what is your major?,english.
2221,english.,what are you going to do with an english major?
2222,what are you going to do with an english major?,i'm going to be a teacher.
2223,i'm going to be a teacher.,high school or middle school?
2224,high school or middle school?,high school.
2225,high school.,i teach high school english.
2226,i teach high school english.,i didn't know that.
2227,i didn't know that.,i started teaching five years ago.
2228,i started teaching five years ago.,how do you like it?
2229,how do you like it?,do you see all this gray hair? it was totally black five years ago.
2230,do you see all this gray hair? it was totally black five years ago.,maybe i'll teach middle school.
2231,parking at school is impossible.,i'll say.
2232,i'll say.,i drove around for half an hour.
2233,i drove around for half an hour.,did you find a spot?
2234,did you find a spot?,"i found a spot, but someone cut in and took it from me."
2235,"i found a spot, but someone cut in and took it from me.",did you yell at them?
2236,did you yell at them?,"yes, i did."
2237,"yes, i did.",and?
2238,and?,and he yelled back at me.
2239,and he yelled back at me.,how rude.
2240,how rude.,but i got lucky a few minutes later.
2241,but i got lucky a few minutes later.,you have to be lucky to find a parking space.
2242,this is a huge library.,"yes, it has lots of rooms and lots of space."
2243,"yes, it has lots of rooms and lots of space.",and lots of books.
2244,and lots of books.,and lots of thieves.
2245,and lots of thieves.,what do you mean?
2246,what do you mean?,"i mean, keep your belongings close to you."
2247,"i mean, keep your belongings close to you.",the only thing in my backpack is used books.
2248,the only thing in my backpack is used books.,but thieves don't know that.
2249,but thieves don't know that.,they might think that i've got an ipod or laptop in there.
2250,they might think that i've got an ipod or laptop in there.,now you're thinking.
2251,now you're thinking.,you'd think a library would be safe from thieves.
2252,you'd think a library would be safe from thieves.,not even a church is safe from thieves.
2253,how good is your math?,i can add two and two.
2254,i can add two and two.,so you're not very good at math?
2255,so you're not very good at math?,i'm terrible at math.
2256,i'm terrible at math.,"well, i need some help."
2257,"well, i need some help.",with what?
2258,with what?,i'm taking a math course in school.
2259,i'm taking a math course in school.,"well, you should ask your teacher or your classmates for help."
2260,"well, you should ask your teacher or your classmates for help.",i can't do that.
2261,i can't do that.,why not?
2262,why not?,they might think i'm stupid.
2263,they might think i'm stupid.,they're not going to think that! they'll be glad to help you.
2264,do you believe in god?,of course.
2265,of course.,do you pray to god?
2266,do you pray to god?,occasionally.
2267,occasionally.,when's that?
2268,when's that?,when i need something.
2269,when i need something.,like what?
2270,like what?,"well, if i have a big test at school."
2271,"well, if i have a big test at school.",does god answer your prayers?
2272,does god answer your prayers?,"yes, i've passed all my tests."
2273,"yes, i've passed all my tests.",do you ever pray for money?
2274,do you ever pray for money?,not yet. i won't need to do that until i graduate from high school.
2275,the cops finally found the husband.,what husband?
2276,what husband?,the husband of the driver who ran over two college students at 3 a.m.
2277,the husband of the driver who ran over two college students at 3 a.m.,"oh, yeah. the girl died instantly, and the boy is still in the hospital."
2278,"oh, yeah. the girl died instantly, and the boy is still in the hospital.",the husband said he tried to help the boy.
2279,the husband said he tried to help the boy.,"yes, he pushed him off the hood of the car."
2280,"yes, he pushed him off the hood of the car.","no, he said he gently placed the boy on the street."
2281,"no, he said he gently placed the boy on the street.",so what? they still drove off.
2282,so what? they still drove off.,the husband said a fire department was nearby.
2283,the husband said a fire department was nearby.,so what? did he dial 911?
2284,so what? did he dial 911?,"he said he was thinking about it, but he didn't get around to it."
2285,"he said he was thinking about it, but he didn't get around to it.","he didn't get around to turning himself in, either."
2286,i don't like riding the bus.,why not?
2287,why not?,the seats and windows are dirty.
2288,the seats and windows are dirty.,don't they clean the bus every night?
2289,don't they clean the bus every night?,i think they do.
2290,i think they do.,you should bring some wipes with you.
2291,you should bring some wipes with you.,that's a good idea.
2292,that's a good idea.,then you can wipe your seat and window.
2293,then you can wipe your seat and window.,people will think i'm strange.
2294,people will think i'm strange.,who cares? everyone is strange.
2295,who cares? everyone is strange.,that's for sure.
2296,that's for sure.,don't worry about what people think.
2297,i don't like riding the bus.,why not?
2298,why not?,"number one, it's too slow."
2299,"number one, it's too slow.",you're right. a car is faster.
2300,you're right. a car is faster.,"number two, it's usually late."
2301,"number two, it's usually late.",you're right. the buses are never on time.
2302,you're right. the buses are never on time.,"number three, it doesn't run 24 hours."
2303,"number three, it doesn't run 24 hours.",you're right. buses don't run late at night.
2304,you're right. buses don't run late at night.,"number four, it's too crowded."
2305,"number four, it's too crowded.",you're right. you have to stand in the aisle.
2306,you're right. you have to stand in the aisle.,"number five, it's unsafe."
2307,"number five, it's unsafe.",you're right. bad guys might rob you.
2308,we had a problem at school.,what was the problem?
2309,what was the problem?,someone cut the tires.
2310,someone cut the tires.,what tires?
2311,what tires?,the tires on the cars.
2312,the tires on the cars.,where were the cars?
2313,where were the cars?,they were in the student parking lot.
2314,they were in the student parking lot.,how many tires were cut?
2315,how many tires were cut?,one or two tires were cut on each car.
2316,one or two tires were cut on each car.,how many cars?
2317,how many cars?,eleven cars.
2318,eleven cars.,that's terrible. i hope they catch the person.
2319,life isn't fair.,it sure isn't.
2320,it sure isn't.,i got a ticket yesterday.
2321,i got a ticket yesterday.,what for?
2322,what for?,i was crossing the street.
2323,i was crossing the street.,were you in a crosswalk?
2324,were you in a crosswalk?,"yes, but the red hand was blinking."
2325,"yes, but the red hand was blinking.",so? that's a ticket?
2326,so? that's a ticket?,"yes, it's a $140 ticket."
2327,"yes, it's a $140 ticket.",that's not right!
2328,that's not right!,"when i started to cross the street, the white walk sign was blinking."
2329,"when i started to cross the street, the white walk sign was blinking.",you need to walk faster.
2330,you're driving too fast.,why do you say that?
2331,why do you say that?,the speed limit is 65.
2332,the speed limit is 65.,i know that.
2333,i know that.,but you're doing 75.
2334,but you're doing 75.,so is everyone else.
2335,so is everyone else.,but a cop might stop you.
2336,but a cop might stop you.,"no, he won't. some cars are doing 85."
2337,"no, he won't. some cars are doing 85.",so the cop will stop those cars?
2338,so the cop will stop those cars?,of course. he stops the fastest cars.
2339,of course. he stops the fastest cars.,my friend got a ticket for doing 75.
2340,my friend got a ticket for doing 75.,your friend was unlucky.
2341,remember to put air in your tires.,how often do i have to do that?
2342,how often do i have to do that?,once every two months.
2343,once every two months.,that's a lot.
2344,that's a lot.,what do you mean?
2345,what do you mean?,that's six times a year!
2346,that's six times a year!,"yes, and it takes about five minutes each time."
2347,"yes, and it takes about five minutes each time.",i'll try.
2348,i'll try.,check your tires or you'll get a flat.
2349,check your tires or you'll get a flat.,oh. that's not good.
2350,oh. that's not good.,"no, it isn't. a flat costs you time and money."
2351,"no, it isn't. a flat costs you time and money.",and i don't have either.
2352,you're driving too fast.,i'm in a hurry.
2353,i'm in a hurry.,don't ever be in a hurry.
2354,don't ever be in a hurry.,it's not my fault. you didn't wake me up.
2355,it's not my fault. you didn't wake me up.,that's not my fault. you didn't tell me to wake you up.
2356,that's not my fault. you didn't tell me to wake you up.,"well, i meant to."
2357,"well, i meant to.",don't ever be in a hurry when you're driving.
2358,don't ever be in a hurry when you're driving.,why not?
2359,why not?,because you'll have an accident. most accidents are because people are in a hurry.
2360,because you'll have an accident. most accidents are because people are in a hurry.,how do you know that?
2361,how do you know that?,i read a lot.
2362,i read a lot.,i thought drunks caused most accidents.
2363,let's go for a ride.,where are we going?
2364,where are we going?,into the mountains.
2365,into the mountains.,that sounds nice.
2366,that sounds nice.,i want to show you my new car.
2367,i want to show you my new car.,you bought a new car?
2368,you bought a new car?,yes. i bought a cadillac.
2369,yes. i bought a cadillac.,a luxury car.
2370,a luxury car.,luxury plus speed.
2371,luxury plus speed.,what are we waiting for?
2372,what are we waiting for?,let me get the keys.
2373,let me get the keys.,let me get my camera.
2374,i have to go to the bathroom.,why didn't you go before we left?
2375,why didn't you go before we left?,"i did, but i have to go again."
2376,"i did, but i have to go again.","well, hold on a little longer."
2377,"well, hold on a little longer.",i think i'm going to explode.
2378,i think i'm going to explode.,just hold on.
2379,just hold on.,oh! don't hit any more bumps!
2380,oh! don't hit any more bumps!,we'll be at mcdonald's in just a few minutes.
2381,we'll be at mcdonald's in just a few minutes.,i hope they are fast minutes.
2382,i hope they are fast minutes.,think about something else. think about a hamburger.
2383,think about something else. think about a hamburger.,"i'm thinking, but i still have to go."
2384,"i'm thinking, but i still have to go.",it's the next exit. hold on!
2385,where's the car?,what do you mean?
2386,what do you mean?,the car isn't here.
2387,the car isn't here.,where did you park it?
2388,where did you park it?,i parked it right here.
2389,i parked it right here.,are you sure?
2390,are you sure?,yes. i remember this big tree.
2391,yes. i remember this big tree.,maybe it's the wrong tree.
2392,maybe it's the wrong tree.,"no, this is the tree."
2393,"no, this is the tree.",did someone steal it?
2394,did someone steal it?,i sure hope not.
2395,i sure hope not.,maybe they towed it away.
2396,look at this traffic.,i'd rather not.
2397,i'd rather not.,it gets worse every year.
2398,it gets worse every year.,why are you complaining? we're going almost 20 miles an hour.
2399,why are you complaining? we're going almost 20 miles an hour.,the speed limit is 65!
2400,the speed limit is 65!,"well, that's between 2:00 and 4:00 a.m."
2401,"well, that's between 2:00 and 4:00 a.m.",where are all these people going?
2402,where are all these people going?,they're all asking the same question.
2403,they're all asking the same question.,when are they going to fix this problem?
2404,when are they going to fix this problem?,they said they need more money.
2405,they said they need more money.,they always need more money.
2406,they always need more money.,it'll get worse before it gets better.
2407,did you see that car?,"yes, he went through the red light."
2408,"yes, he went through the red light.",can we call the police?
2409,can we call the police?,"no, the police don't care."
2410,"no, the police don't care.",why not?
2411,why not?,they have to see it happen.
2412,they have to see it happen.,they don't believe us?
2413,they don't believe us?,no. they can only give a ticket if they see it happen.
2414,no. they can only give a ticket if they see it happen.,"so, what do we do?"
2415,"so, what do we do?",we don't do anything.
2416,we don't do anything.,maybe we should honk the horn next time.
2417,maybe we should honk the horn next time.,the driver will just honk back at us.
2418,my car is dirty.,why don't you wash it?
2419,why don't you wash it?,that's what i'm going to do.
2420,that's what i'm going to do.,are you going to wash it yourself?
2421,are you going to wash it yourself?,of course. it's not a hard job.
2422,of course. it's not a hard job.,i'll help you.
2423,i'll help you.,"okay, i'll get a bucket."
2424,"okay, i'll get a bucket.",i'll rinse the car first.
2425,i'll rinse the car first.,then we can scrub it with a wet sponge and soap.
2426,then we can scrub it with a wet sponge and soap.,"after that, we can dry it with a towel."
2427,"after that, we can dry it with a towel.",then it will look like new
2428,then it will look like new,and you save $10.
2429,it sure is windy today.,paper is flying everywhere.
2430,paper is flying everywhere.,this wind is dangerous for drivers.
2431,this wind is dangerous for drivers.,especially for drivers of big trucks.
2432,especially for drivers of big trucks.,the wind blows those trucks over.
2433,the wind blows those trucks over.,"it blows trees over, too."
2434,"it blows trees over, too.",a tree fell onto my dad's car.
2435,a tree fell onto my dad's car.,was there much damage?
2436,was there much damage?,my dad had to buy a new car.
2437,my dad had to buy a new car.,wow! that's terrible.
2438,wow! that's terrible.,never park your car under a tree.
2439,never park your car under a tree.,"the wind will get you, or the birds will get you."
2440,when are we going to stop?,we'll stop at the next mcdonald's.
2441,we'll stop at the next mcdonald's.,how far away is that?
2442,how far away is that?,i think we'll be there in half an hour.
2443,i think we'll be there in half an hour.,i hope so. i have to go to the bathroom.
2444,i hope so. i have to go to the bathroom.,"well, i can always pull over."
2445,"well, i can always pull over.","no, thank you, i'll just wait."
2446,"no, thank you, i'll just wait.",we can kill two birds with one stone.
2447,we can kill two birds with one stone.,what do you mean?
2448,what do you mean?,"while you're using the bathroom, i'll order some food."
2449,"while you're using the bathroom, i'll order some food.",don't order for me. i'm not hungry.
2450,don't order for me. i'm not hungry.,"i'm very hungry. i'll order for you, and then i'll eat yours."
2451,this is such a long light.,look how many cars are waiting in line.
2452,look how many cars are waiting in line.,they need a left-turn arrow.
2453,they need a left-turn arrow.,only two cars can make a left turn every three or four minutes.
2454,only two cars can make a left turn every three or four minutes.,we'll be here forever.
2455,we'll be here forever.,get out of this lane.
2456,get out of this lane.,but we need to turn left.
2457,but we need to turn left.,forget it. go straight.
2458,forget it. go straight.,then what?
2459,then what?,then we'll just make a u-turn.
2460,then we'll just make a u-turn.,and then we can turn right at the light.
2461,and then we can turn right at the light.,good idea. it will be so much quicker.
2462,i need a cheap car.,how much money do you have?
2463,how much money do you have?,"$1,000."
2464,"$1,000.","well, that should get you something."
2465,"well, that should get you something.",but i need something that's reliable.
2466,but i need something that's reliable.,you need a car with low mileage.
2467,you need a car with low mileage.,a car that was owned by a little old lady.
2468,a car that was owned by a little old lady.,where have you looked?
2469,where have you looked?,i haven't looked anywhere yet.
2470,i haven't looked anywhere yet.,why not?
2471,why not?,because i'll never find one for such a low price.
2472,because i'll never find one for such a low price.,you're right about that. keep saving your money.
2473,"good afternoon, officer.","your driver's license and registration, please."
2474,"your driver's license and registration, please.",here you go.
2475,here you go.,do you know why i pulled you over?
2476,do you know why i pulled you over?,i have no idea. all of a sudden i heard your siren.
2477,i have no idea. all of a sudden i heard your siren.,you rolled through that stop sign back there.
2478,you rolled through that stop sign back there.,but i stopped!
2479,but i stopped!,"no, you didn't. you slowed down, but you didn't come to a full stop."
2480,"no, you didn't. you slowed down, but you didn't come to a full stop.","well, nobody else does, so why should i?"
2481,"well, nobody else does, so why should i?",that's not the attitude of a good driver.
2482,that's not the attitude of a good driver.,but i am a good driver. i've never had a ticket in my life.
2483,but i am a good driver. i've never had a ticket in my life.,"well, you've got one now. here. have a nice day."
2484,$140. i can't believe it.,what are you talking about?
2485,what are you talking about?,i got a ticket downtown for $140.
2486,i got a ticket downtown for $140.,were you speeding?
2487,were you speeding?,"no, i was crossing the street."
2488,"no, i was crossing the street.",were you jaywalking?
2489,were you jaywalking?,"no, i was in the crosswalk."
2490,"no, i was in the crosswalk.",so why did you get a ticket?
2491,so why did you get a ticket?,the officer said the red hand was blinking.
2492,the officer said the red hand was blinking.,was it blinking when you entered the crosswalk?
2493,was it blinking when you entered the crosswalk?,"no, the white walk sign was blinking."
2494,"no, the white walk sign was blinking.",you should fight that ticket. i'll be your witness.
2495,they were in a crosswalk near school at 3 a.m.,who?
2496,who?,two students from usc.
2497,two students from usc.,what happened?
2498,what happened?,"a speeding car ran a red light, killing the girl."
2499,"a speeding car ran a red light, killing the girl.",what happened to the other student?
2500,what happened to the other student?,he landed on the hood of the car.
2501,he landed on the hood of the car.,did he get off the hood?
2502,did he get off the hood?,"no, the car stopped and the passenger pushed the injured student off the hood."
2503,"no, the car stopped and the passenger pushed the injured student off the hood.",i'll bet the car continued on its way.
2504,i'll bet the car continued on its way.,of course it did. why stop after you've run over two people?
2505,of course it did. why stop after you've run over two people?,i hope they find them and put them in jail for life.
2506,what happened to your car?,i got a dent in the parking lot.
2507,i got a dent in the parking lot.,how did you get it?
2508,how did you get it?,i don't know. maybe it was from a shopping cart.
2509,i don't know. maybe it was from a shopping cart.,those shopping carts are dangerous.
2510,those shopping carts are dangerous.,especially the metal ones.
2511,especially the metal ones.,i don't park at a store that uses metal shopping carts.
2512,i don't park at a store that uses metal shopping carts.,"that's a good idea, but there was a good sale at this store."
2513,"that's a good idea, but there was a good sale at this store.",did you save any money on the sale?
2514,did you save any money on the sale?,"yes, i did. i saved about $50."
2515,"yes, i did. i saved about $50.",that's great.
2516,that's great.,"yes, except this dent will cost about $150."
2517,"did you see ""titanic""?",yes. it is a great movie.
2518,yes. it is a great movie.,i saw it twelve times.
2519,i saw it twelve times.,i saw it eight times.
2520,i saw it eight times.,i have the dvd.
2521,i have the dvd.,so do i.
2522,so do i.,let's go to your home.
2523,let's go to your home.,we can watch my dvd.
2524,we can watch my dvd.,and then we can go to my home.
2525,and then we can go to my home.,and watch your dvd.
2526,and watch your dvd.,i always cry at the end.
2527,i always cry at the end.,me too. it's so sad.
2528,let's play cards.,i don't know any card games.
2529,i don't know any card games.,i'll teach you one.
2530,i'll teach you one.,okay. what will you teach me?
2531,okay. what will you teach me?,it's called poker.
2532,it's called poker.,is it easy to learn?
2533,is it easy to learn?,"yes, it will only take about 30 minutes."
2534,"yes, it will only take about 30 minutes.",okay. teach me how to play.
2535,okay. teach me how to play.,we each get five cards.
2536,we each get five cards.,"oh, look. i have four tens."
2537,"oh, look. i have four tens.","that's great, but you're not supposed to tell me."
2538,"that's great, but you're not supposed to tell me.","oh. sorry. okay, i don't have four tens."
2539,i'm a good card player.,why is that?
2540,why is that?,because i watch the other players.
2541,because i watch the other players.,what do you mean?
2542,what do you mean?,people will tell you if they have a good hand.
2543,people will tell you if they have a good hand.,how do they do that?
2544,how do they do that?,"for example, a friend of mine licks his lips."
2545,"for example, a friend of mine licks his lips.","when he licks his lips, you know he has a good hand?"
2546,"when he licks his lips, you know he has a good hand?","i know he has a good hand, so i don't bet."
2547,"i know he has a good hand, so i don't bet.",he never wins your money?
2548,he never wins your money?,"nope, and it drives him crazy."
2549,"nope, and it drives him crazy.",he knows you can't read his mind. maybe he thinks you're cheating.
2550,"turn the radio down, please.",but i'm listening to it.
2551,but i'm listening to it.,"well, listen to it more quietly."
2552,"well, listen to it more quietly.",i can't wait till i grow up.
2553,i can't wait till i grow up.,what will you do?
2554,what will you do?,i will play the radio as loud as i want.
2555,i will play the radio as loud as i want.,that's okay with me.
2556,that's okay with me.,i will have a radio in every room of my house.
2557,i will have a radio in every room of my house.,remind me to never visit you.
2558,remind me to never visit you.,all the radios will be on extra loud.
2559,all the radios will be on extra loud.,your neighbors will hate you.
2560,your neighbors will hate you.,"if they don't like it, they can move."
2561,i hope i win the lotto.,your chances are very small.
2562,your chances are very small.,but you can't win if you don't play.
2563,but you can't win if you don't play.,ha! you can't win if you do play.
2564,ha! you can't win if you do play.,someone has to win.
2565,someone has to win.,that's what everyone says.
2566,that's what everyone says.,it might as well be me.
2567,it might as well be me.,that's what everyone says.
2568,that's what everyone says.,you're trying to tell me something.
2569,you're trying to tell me something.,that didn't take long.
2570,that didn't take long.,you think i should quit playing.
2571,you think i should quit playing.,save your money for school.
2572,what's on tv?,nothing much.
2573,nothing much.,what about the baseball game?
2574,what about the baseball game?,it got rained out.
2575,it got rained out.,rained out?
2576,rained out?,"yes, rained out."
2577,"yes, rained out.",how could that be?
2578,how could that be?,"well, you can't play baseball in a rainstorm."
2579,"well, you can't play baseball in a rainstorm.",i thought they were playing under a dome.
2580,i thought they were playing under a dome.,the dome doesn't close.
2581,the dome doesn't close.,why doesn't it close?
2582,why doesn't it close?,who knows? they said they'll fix it before next season.
2583,can i try your coffee?,sure. here you go.
2584,sure. here you go.,"hmm, that's not bad."
2585,"hmm, that's not bad.",there's nothing in it.
2586,there's nothing in it.,what do you mean?
2587,what do you mean?,"i mean, it's just coffee."
2588,"i mean, it's just coffee.",i figured that.
2589,i figured that.,it's not too bitter for you?
2590,it's not too bitter for you?,"it's a little bitter, but it's okay."
2591,"it's a little bitter, but it's okay.",there's no sugar or cream in it.
2592,there's no sugar or cream in it.,"no, it's a taste you have to get used to."
2593,"no, it's a taste you have to get used to.",sort of like beer.
2594,let's take a walk.,what's the weather like?
2595,what's the weather like?,let me step outside and see.
2596,let me step outside and see.,"it's a little chilly, right?"
2597,"it's a little chilly, right?","yes, it is."
2598,"yes, it is.",i'll put on my cap.
2599,i'll put on my cap.,"wear a jacket, too."
2600,"wear a jacket, too.",i wonder if i should bring my gloves.
2601,i wonder if i should bring my gloves.,"maybe you should, just in case it gets colder."
2602,"maybe you should, just in case it gets colder.",i'll put a glove in each pocket.
2603,i'll put a glove in each pocket.,we'll get warmer as we walk.
2604,we'll get warmer as we walk.,"yes, but it gets colder as the sun goes down."
2605,look at the car chase on tv!,that driver is crazy.
2606,that driver is crazy.,i can't believe he hasn't crashed.
2607,i can't believe he hasn't crashed.,how fast is he going?
2608,how fast is he going?,they say he's going 80 miles per hour.
2609,they say he's going 80 miles per hour.,he's going to kill someone.
2610,he's going to kill someone.,look! he just hit that car.
2611,look! he just hit that car.,"oh, my goodness. no one is safe on the streets."
2612,"oh, my goodness. no one is safe on the streets.",now he's slowing down.
2613,now he's slowing down.,maybe he ran out of gas.
2614,maybe he ran out of gas.,look! he just got out of the car and started running.
2615,look! he just got out of the car and started running.,i hope the police catch him.
2616,tv news is so stupid.,they shouldn't even call it news.
2617,they shouldn't even call it news.,last night they told us about a cat in a sofa.
2618,last night they told us about a cat in a sofa.,yesterday they told us about a dog in a pipe.
2619,yesterday they told us about a dog in a pipe.,last week they told us about a bear in a back yard.
2620,last week they told us about a bear in a back yard.,last month they told us about a mouse in a restaurant.
2621,last month they told us about a mouse in a restaurant.,the weatherman tells us the temperature in every town.
2622,the weatherman tells us the temperature in every town.,the sports guy shows us players fighting.
2623,the sports guy shows us players fighting.,"they always tell us ""what's next."""
2624,"they always tell us ""what's next.""","they always make ""what's next"" sound exciting, but it never is."
2625,"they always make ""what's next"" sound exciting, but it never is.",it's more like news for kids.
2626,it's more like news for kids.,they should have kid reporters.
2627,i love my computer.,computers are so cool.
2628,computers are so cool.,i love to go online.
2629,i love to go online.,the internet is amazing.
2630,the internet is amazing.,you can travel all over the world.
2631,you can travel all over the world.,i know. i went to china yesterday.
2632,i know. i went to china yesterday.,what did you do?
