question,answers
bored,whats on tv
whats tv,nothing
nothing,there must be something on tv
must something tv,nothing thats interesting
nothing thats interesting,what about that new game show
new game show,which one
one,deal or no deal
deal deal,tell me youre joking
tell youre joking,i love that show
love show,i watched it once that was enough
watched enough,its on right now lets watch it together
like living,i agree pasadena is a nice city
agree pasadena nice city,its not too big
big,and its not too small
small,it has great weather all year long
great weather year long,it has the rose parade
rose parade,it has beautiful houses
beautiful houses,it has wonderful restaurants
wonderful restaurants,it has great schools
great schools,its close to the mountains
close mountains,the people are friendly
people friendly,i am not ever going to leave
need new mattress,whats the matter with this one
whats matter one,its not comfortable
comfortable,it seems fine to me
seems fine,i toss and turn all night
toss turn night,you should stop drinking coffee
stop drinking coffee,look at these marks on my arms
look marks arms,what are they
bites,did the cat bite you
cat bite,no the bedbugs in that mattress bit me
bedbugs mattress bit,okay lets get a new mattress
laptop slow,buy a new one
buy new one,i would if i had the money
would money,why is it so slow
slow,thats a good question
thats good question,did you take it to a computer shop
take computer shop,i would if i had the money
would money,well i guess you have to live with it
well guess live,sometimes i want to throw it out the window
sometimes want throw window,you do not want to do that
dont want,why not
whats dinner,i am not sure
sure,how about a pizza
pizza,you had pizza for lunch
pizza lunch,but i love pizza
love pizza,everybody loves pizza
everybody loves pizza,so why can not i have pizza for dinner
pizza dinner,because you need variety
need variety,whats variety
whats variety,different thingsâ—not the same thing all the time
different thingsâ—not thing time,you mean like a pepperoni pizza instead of a cheese pizza
mean like pepperoni pizza instead cheese pizza,no i mean a salad instead of a pizza
need save money,why do we need to save money
need save money,because we need to buy a house
need buy house,but a house is so expensive
house expensive,thats why we need to save money
thats need save money,how much do we need to save
much need save,we need to save enough for a down payment
need save enough payment,how much is that
much,thats about $30000
thats $30000,thirty thousand dollars that will take forever
thirty thousand dollars take forever,not if we save every penny
save every penny,okay heres seven pennies
ocean big,you can not see the end of it
see end,it goes on and on forever
goes forever,and its deep too
deep,i think its five miles deep
think five miles deep,are there fish at the bottom
fish bottom,there are fish at the top and the bottom
fish top bottom,are there more fish or more people
fish people,i think there are more fish
think fish,i hope so i love to eat fish
upset mom,why is that
warned new boyfriend didnt listen,what happened
happened,i gave her $1000 for her birthday i told her to spend it on herself
gave $1000 birthday told spend,that was very nice of you
nice,i found out that she gave it to her new boyfriend
found gave new boyfriend,why did she do that
said would buy nice ring,whats wrong with that
whats wrong,he went to las vegas he lost it all gambling
went las vegas lost gambling,i hope your mom broke up with him
animals talk,of course they talk to each other
course talk,what do they talk about
talk,they talk about other animals
talk animals,what else do they talk about
else talk,they talk about food and the weather
talk food weather,do they talk about us
talk us,of course they talk about us
course talk us,what do they say about us
say us,they say that we are funny looking
say funny looking,ha were not funny looking animals are funny looking
ha funny looking animals funny looking,were funny looking because we wear clothes
clean house,yes its very dirty
yes dirty,you can help me
help,why me
helped make dirty,what do you want me to do
want,i want you to clean the bathroom
want clean bathroom,oh thats easy
oh thats easy,clean the sink the tub the counter and the toilet
clean sink tub counter toilet,thats a lot of work
thats lot work,tell me when you finish
tell finish,i do not think so youll just give me more work
youre watching much tv,what do you mean
mean,i mean youre wasting your life
mean youre wasting life,i am having fun
fun,youre sitting there with your mouth open
youre sitting mouth open,who cares
cares,i care do something
care something,okay i did something
okay something,what did you do
turned volume,thats not what i meant by do something
thats meant something,will you do something leave me alone
write letter grandma,yes i did
yes,did you tell her about school
tell school,i told her that school is fun
told school fun,did you put the letter in an envelope
put letter envelope,yes and i sealed the envelope
yes sealed envelope,did you put a stamp on the envelope
put stamp envelope,i couldnt find any stamps
couldnt find stamps,theyre in the kitchen drawer
theyre kitchen drawer,okay i just put a stamp on the envelope
okay put stamp envelope,give me the envelope and i will mail it for you
give envelope mail,when is grandma going to learn about email
yawning,i am sleepy
sleepy,why do not you go to bed
dont go bed,i want to watch this tv show
want watch tv show,maybe you should record it
maybe record,the tape recorder is broken
tape recorder broken,then you should watch the rerun
watch rerun,why i am watching the original
watching original,but youll be asleep in about one minute
youll asleep one minute,i am just yawning because the commercials are on
yawning commercials,okay i will tell you how the show ends
okay tell show ends,zzz
sunday,so
know means,i forgot
forgot,sunday means we go to church
sunday means go church,oh yeah
oh yeah,put on a coat and tie
put coat tie,why
show respect god others,i am glad sunday is only once a week
glad sunday week,i hope god didnt hear that
hope god didnt hear,hell forgive me
feed cat,i will do that in a minute
minute,the cat is meowing he is hungry
cat meowing hungry,okay i will feed him right now
okay feed right,you shouldnt make him wait
shouldnt make wait,i was doing my homework
homework,the cat doesnt care about your homework
cat doesnt care homework,the cat doesnt care about anything
cat doesnt care anything,thats the way cats are
thats way cats,all they think about is themselves
think,maybe we should get rid of him
maybe get rid,of course not he is family
hate shaving,me too
cut,did you use a new blade
use new blade,it doesnt matter old blades cut new blades cut
doesnt matter old blades cut new blades cut,maybe you should use an electric shaver
maybe use electric shaver,they make a lot of noise but they do not give a close shave
make lot noise dont give close shave,maybe you should stop shaving
maybe stop shaving,and grow a beard
grow beard,sure why not
sure,because food and other stuff sticks in my beard
food stuff sticks beard,hmm heres an idea put cream on your face and have the cat lick it off
excuse,yes
yes,are you reading this paper
reading paper,oh no help yourself
oh help,i asked because the paper is sitting next to you
asked paper sitting next,thank you thats polite of you to ask
thank thats polite ask,some people would just pick it up
people would pick,yes i know some people are rude
yes know people rude,i always try to be polite
always try polite,so do i
world needs polite people like us,i agree 100 percent
mom want puppy,let me think about it
let think,why do you have to think about it
think,because a puppy costs money
puppy costs money,no it doesnt puppies are free
doesnt puppies free,yes but a puppy needs shots
yes puppy needs shots,shots for what
shots,so it wont get sick just like you get shots
wont get sick like get shots,i hate shots
hate shots,and a puppy eats food food costs money
puppy eats food food costs money,no problem i will give him food off my plate
problem give food plate,oh no you do not puppies do not eat vegetables
look kittens,how many are there
many,eight
eight,theyre all so cute
theyre cute,yes but i can not keep them
yes keep,what are you going to do with them
going,i am going to give them away do you want one
going give away want one,yes i would love one
yes would love one,which one do you want
one want,that one the one thats all black
one one thats black,yes i like that one too
yes like one,i will call him blacky
parents go church every sunday,they trust in god
trust god,they hope they will go to heaven
hope go heaven,they probably will
probably,but no one knows for sure
one knows sure,thats for sure
thats sure,no one knows what happens after we die
one knows happens die,if we are good we will be happy in heaven with god
good happy heaven god,thats what many people believe
thats many people believe,if we are bad we will be unhappy forever in hell
bad unhappy forever hell,i do not want to go to hell
dont want go hell,lets go to church with your parents on sunday
husband died,i am sorry for you
sorry,thank you
thank,when did he die
die,a couple of months ago
couple months ago,you still miss him
still miss,yes but i talk to him almost every day
yes talk almost every day,when you go to church
go church,no when i call him on his cell phone
call cell phone,what do you mean
mean,i buried him with his cell phone
buried cell phone,what will you do when the battery dies
today friday thirteenth,thats a bad day
thats bad day,its supposed to be unlucky
supposed unlucky,youre supposed to stay home all day
youre supposed stay home day,thats what i do
thats,my friend stayed in a hotel on friday the thirteenth
friend stayed hotel friday thirteenth,that was a mistake
mistake,he stayed on the thirteenth floor
stayed thirteenth floor,what happened
happened,someone stole his laptop
someone stole laptop,he was asking for it
asking,he learned his lesson he is home today
really love,of course
course,prove it
prove,how can i prove it
prove,take me to dinner
take dinner,thats it thats all i have to do
thats thats,take me to a nice restaurant not to mcdonalds
take nice restaurant mcdonalds,but a nice restaurant costs money
nice restaurant costs money,yes and you have to make a reservation
yes make reservation,thats such a hassle
thats hassle,i knew you didnt love me
knew didnt love,okay okay i will make a reservation right now
parents divorced,so are mine
mine,why did your parents get divorced
parents get divorced,my father found a new girlfriend
father found new girlfriend,thats too bad
thats bad,my mother was hurt and angry
mother hurt angry,she had good reason what did she do
good reason,she told him to drop his girlfriend
told drop girlfriend,what did your father do
father,he moved out of our house
moved house,i guess he really liked his new girlfriend
guess really liked new girlfriend,yes but she left him a year later
grandmas apartment smells funny,so does mine
mine,i think its an old peoples smell
think old peoples smell,really
really,yes i think when you get old you begin to smell
yes think get old begin smell,like fruit that is too ripe
like fruit ripe,yes just like fruit that is too ripe
yes like fruit ripe,but the smell is different
smell different,yes old people do not smell like fruit
yes old people dont smell like fruit,no they smell like a thrift shop
smell like thrift shop,yes a thrift shop has that same smell
yes thrift shop smell,yes an old smell
price stamps goes,i think stamps used to cost a penny
think stamps used cost penny,that was a long time ago
long time ago,it was before i was born
born,now a stamp is 42 cents
stamp 42 cents,but in may it will be 44 cents
may 44 cents,have you ever lost a letter in the mail
ever lost letter mail,no i havent
havent,neither have i
neither,so they do a good job for the money
good job money,yes they do
yes,maybe we shouldnt complain
button came shirt,what are you going to do
going,first i have to find the button
first find button,where did you lose it
lose,i have no idea
idea,a button is hard to find did you look in your pant cuffs
button hard find look pant cuffs,thats a good idea
thats good idea,i found a button in my pant cuffs one time
found button pant cuffs one time,let me look no its not there
let look,many shirts come with an extra button
many shirts come extra button,youre right this one does have an extra button
youre right one extra button,now all you have to do is sew it on
go bathroom,you drink too much coffee
drink much coffee,but i love coffee
love coffee,well its your life
well life,you eat too much chocolate
eat much chocolate,i do not think so
dont think,have you looked in the mirror
looked mirror,do you think i am getting fat
think getting fat,i didnt say that
didnt say,what did you say
say,i said i have to go to the bathroom
said go bathroom,thats what i thought you said
laundry,yes i did
yes,what did you wash
wash,i washed the sheets and towels
washed sheets towels,what about the pillowcases
pillowcases,yes i took them off the pillows and washed them
yes took pillows washed,did you dry everything in the dryer
dry everything dryer,yes i dried everything in the dryer
yes dried everything dryer,then what did you do
folded towels,did you put the sheets on the beds
put sheets beds,yes and i put the pillowcases on the pillows
listen radio,i listen day and night
listen day night,what do you listen to
listen,mostly talk radio
mostly talk radio,whats that
whats,people talk about current events
people talk current events,what do they say
say,they say they want change
say want change,what kind of change
kind change,they want tax cuts
want tax cuts,why do they want tax cuts
want tax cuts,because tax cuts will save them money
mom hungry,look in the fridge
look fridge,i am looking theres nothing to eat
looking theres nothing eat,are you sure
sure,its almost empty
almost empty,i went to the market yesterday
went market yesterday,i do not see anything
dont see anything,i bought lots of oranges and apples
bought lots oranges apples,i do not want fruit i want something tasty
dont want fruit want something tasty,eat the fruit its good for you
eat fruit good,next time you go to the market let me go with you
next time go market let go,no thank you all you want to eat are hot dogs and candy bars
eat,i do not know look in the fridge
dont know look fridge,i think i will make a sandwich
think make sandwich,what kind
kind,a ham sandwich
ham sandwich,the bread is in the cabinet
bread cabinet,wheres the mustard
wheres mustard,its in the fridge i think
fridge think,oh yes here it is do you want a sandwich
oh yes want sandwich,yes that sounds nice
yes sounds nice,how about some potato chips
potato chips,yes and a pickle if we have any
time bath young lady,but mom i am not dirty
mom dirty,you need a bath every day
need bath every day,why
dont want smell bad,i do not smell bad
dont smell bad,thats what you think
thats think,if i smelled bad i could smell me
smelled bad could smell,i can smell you
smell,i can smell you too
smell,thats my perfume
thats perfume,when can i wear perfume
somethings wrong computer,exactly what
exactly,all i get is a black screen
get black screen,whats the matter
whats matter,i think i know because this happened before
think know happened,what happened before
happened,my hard drive crashed
hard drive crashed,oh no thats bad news
oh thats bad news,it sure is but i am going to call hp first just to make sure
sure going call hp first make sure,will you lose all your files
lose files,no i always back up my files
always back files,youre smart
called hp computer,what did they say
say,they said i need a new hard drive
said need new hard drive,thats too bad how much is a new one
thats bad much new one,its not too much only about $85
much $85,plus installation
plus installation,no my hard drive is easy to remove and replace
hard drive easy remove replace,really
really,yes its just a couple of screws
yes couple screws,thats nice
thats nice,its a lot better than paying someone $60
lot better paying someone $60,if my hard drive crashes i will just call you
whats email address,its blue dog 123
blue dog 123,blue dog 123 are you sure thats all
blue dog 123 sure thats,yes
yes,no thats incomplete
thats incomplete,what do you mean
mean,whats your mailing address
whats mailing address,456 cherry drive pasadena ca 91170
456 cherry drive pasadena ca 91170,thats correct
thats correct,so whats the problem
whats problem,blue dog 123 is just the street you have to give me the city state and zip code
blue dog 123 street give city state zip code,oh i get it my email address is bluedog123@yahoocom
going take nap,you should unplug the phone
unplug phone,thats a good idea
thats good idea,do you want me to wake you in an hour
want wake hour,no thanks just let me sleep until i wake up
thanks let sleep wake,i will start dinner at 600
start dinner 600,okay i think i will be awake by then
okay think awake,if not your nose will wake you up
nose wake,you mean i will smell the food cooking
mean smell food cooking,you might even dream about dinner
might even dream dinner,i do not think i am going to dream about anything i am really tired
dont think going dream anything really tired,have a nice nap
nice funeral,yes dad it was
yes dad,the son gave a nice speech about his father
son gave nice speech father,it was long too
long,i think it was about 45 minutes long
think 45 minutes long,but it went by fast it was interesting
went fast interesting,i liked it
liked,i will give you a speech like that too
give speech like,do you think anyone will come to my funeral
think anyone come funeral,of course
course,i think only the family will be there
think family,you have lots of friends they will be there too
yikes noise,i had to blow my nose
blow nose,did you have to blow right next to the phone
blow right next phone,did you hear that
hear,of course i heard that i thought a plane had crashed into your house
course heard thought plane crashed house,it wasnt that loud
wasnt loud,i will blow my nose sometime for you and youll see
blow nose sometime youll see,okay i will take your word for it
okay take word,i thought you had an elephant in your house
thought elephant house,youre funny
youre funny,what did you say i think i have gone deaf
say think gone deaf,i am going into the bathroom to blow my nose i will be right back
lots friends,really how many do you have
really many,i do not know maybe one hundred
dont know maybe one hundred,that is a lot of friends do you have a best friend
lot friends best friend,of course i have lots of best friends
course lots best friends,how many best friends do you have
many best friends,i think about twentyfive
think twentyfive,hmm i have only one best friend
hmm one best friend,i feel sorry for you
feel sorry,i have only a few friends
friends,you must be lonely i will share my friends with you
must lonely share friends,thats very nice of you
dont ever cheat,why would i do that
would,because men like to cheat
men like cheat,some men do but not me
men,i am watching you
watching,i am an open book watch me all you want
open book watch want,if i catch you youll be sorry
catch youll sorry,you wont catch me because i love you i am not a cheater
wont catch love cheater,i will poke your eyes out
poke eyes,i do not want any other woman
dont want woman,i will chop your toes off one by one
chop toes one one,honey please youre the only woman for me forever i swear it
hate go outside,me too
hate go outside,i meet too many jerks
meet many jerks,i agree
agree,this city is full of jerks
city full jerks,rude people are everywhere
rude people everywhere,but what can you do
yell,and they will yell back at you
yell back,yelling doesnt do any good
yelling doesnt good,no the best thing to do is just stay home
look form,are you having problems with it
problems,i do not understand some things
dont understand things,let me help you
let help,what does mi mean
mi mean,mi stands for middle initial
mi stands middle initial,what does mm/dd/yy mean
mm/dd/yy mean,that means month/day/year use numbers
means month/day/year use numbers,i do not understand
dont understand,for example if your birth date is january 12 1987 write 01/12/87
example birth date january 12 1987 write 01/12/87,oh thats simple enough
oh thats simple enough,always print clearly and fill in the bubbles completely
lets go animal shelter,what do you want to do
want,i want to get a puppy for my son
want get puppy son,that will make him so happy
make happy,i will get him one of those little dogs
get one little dogs,one that wont grow up too big
one wont grow big,and eat too much
eat much,do you know which one he would like
know one would like,oh yes i took him there yesterday he showed me one that he really liked
oh yes took yesterday showed one really liked,i bet you had to drag him away
bet drag away,he wanted to take it home yesterday
wanted take home yesterday,i wonder what hell name it
whats weather like,i do not know i just woke up
dont know woke,why do not you look outside
dont look outside,okay it looks like rain
okay looks like rain,why do you say that
say,the sky is gray
sky gray,is it raining right now
raining right,no
know,the street is not wet
street wet,i have to go shopping today
go shopping today,youd better take an umbrella
believe hot,its not even noon yet
even noon yet,that means it will get hotter
means get hotter,i am dying from the heat
dying heat,turn on the air conditioner
turn air conditioner,it doesnt work
doesnt work,what happened
happened,i do not know
dont know,did you call the repairman
call repairman,of course
course,when is he coming
coming,he is busy he said next week
glad winter comes,why is that
love snow,yes the snow is fun
yes snow fun,last year we made a big snowman
last year made big snowman,how big was it
big,it was seven feet tall
seven feet tall,how long did it take
long take,it took us all day
took us day,did you give him a nose
give nose,of course we gave him a big carrot for a nose
course gave big carrot nose,let me help you make one this year
going bank,what do you need to do
need,i need to withdraw some money
need withdraw money,how are you going to do that
going,i will just use the atm
use atm,whats that
whats,its the automatic teller machine
automatic teller machine,it gives you money
gives money,i just insert my debit card into the machine
insert debit card machine,and it gives you money
gives money,well it gives me money but its my own money
well gives money money,oh what good is that i thought it gave you free money
put blue bin street,oh no i forgot
oh forgot,well youd better take it out front
well youd better take front,what time does the recycle truck come by
time recycle truck come,it usually gets here at noon on tuesday which is tomorrow
usually gets noon tuesday tomorrow,i will just take it out to the street tomorrow morning
take street tomorrow morning,oh no you do not
oh dont,what do you mean
mean,every morning you get up late and rush off to work late
every morning get late rush work late,do you think i will forget to do it
think forget,youll remember to do it but you wont have time to do it
youll remember wont time,okay i will take it out front right now
ready,ready for what
ready,ready for the big switch
ready big switch,what are you talking about
talking,the nation is switching to digital tv
nation switching digital tv,oh of course i am ready
oh course ready,did you buy the converter
buy converter,no i do not need a converter because i bought a digital tv
dont need converter bought digital tv,how much was that
much,it was only about $120 for a 13inch screen
$120 13inch screen,does it pick up any digital channels
pick digital channels,oh yes i get six korean channels but nothing in english
people funny,they sure are
sure,did you hear about the pilot
hear pilot,the one that stole a small plane
one stole small plane,yes he stole a plane in canada and flew into the us
yes stole plane canada flew us,did they catch him
catch,yes after two us fighter jets followed him for an hour he landed on a highway
yes two us fighter jets followed hour landed highway,did he crash
crash,no he just landed the plane and walked to a restaurant
landed plane walked restaurant,did the cops find out why he flew into the us
cops find flew us,his life sucked he was hoping a fighter jet would shoot him down
life sucked hoping fighter jet would shoot,poor guy
police need help finding robber,how do you know
know,the tv news is reporting a bank robbery
tv news reporting bank robbery,do they know what the robber looks like
know robber looks like,yes he is 6 feet tall 200 pounds black hair and about 30 years old
yes 6 feet tall 200 pounds black hair 30 years old,what race is he
race,they didnt say
didnt say,the tv news doesnt tell us the race anymore
tv news doesnt tell us race anymore,of course not that would be racist
course would racist,but how can we identify someone if we do not know their race
identify someone dont know race,do not ask me
dont ask,then they also shouldnt tell us if the robber is male or female because that is sexist
dont wipe nose sleeve,but i do not have a tissue
dont tissue,then go find a tissue in the bathroom
go find tissue bathroom,i didnt have time to get one from there
didnt time get one,your sleeves are not tissues
sleeves tissues,but mom all my friends use their sleeves
mom friends use sleeves,that doesnt make it right
doesnt make right,i saw dad wipe his nose on his sleeve yesterday
saw dad wipe nose sleeve yesterday,i will talk to your father about that
talk father,i bet dad did it all the time when he was my age
bet dad time age,your daddy was a good little boy
daddy good little boy,how do you know were you his mommy too
worried,worried about what
worried,i am getting married
getting married,you should be happy not worried
happy worried,i am happy but marriage is a lot of responsibility
happy marriage lot responsibility,yes you have to take care of your wife
yes take care wife,and i have to take care of our children
take care children,are you going to start a family
going start family,yes we want to have a little boy and a little girl
yes want little boy little girl,that sounds wonderful
sounds wonderful,except we can not afford it
except afford,no wonder youre worried
dont get art,or artists
artists,theyre in a different world
theyre different world,i saw a painting of a jar that was full of pencils
saw painting jar full pencils,the artist said the jar was both full and empty
artist said jar full empty,but it was full of pencils how could he say it was empty
full pencils could say empty,artists see things differently
artists see things differently,did you ever see anything that picasso painted
ever see anything picasso painted,of course he is world famous
course world famous,did he ever take art lessons
ever take art lessons,i can not believe it i drew paintings like that in third grade
believe drew paintings like third grade,where are they maybe they are worth millions
whats point,the point of what
point,of living
living,who knows you live and then you die
knows live die,we must be here for some reason
must reason,maybe were here to have fun
maybe fun,then why arent i having fun
arent fun,because youre thinking too much
youre thinking much,so i should stop thinking
stop thinking,stop thinking about what the point is
stop thinking point,okay i will start thinking about having some fun
okay start thinking fun,just be patient fun doesnt come along every five minutes
beer powerful drug,so are cigarettes
cigarettes,which would you prefer
would prefer,what do you mean
mean,when you die and go to heaven they will offer you beer or cigarettes
die go heaven offer beer cigarettes,i could pick only one or the other
could pick one,yes nothings perfect not even in heaven
yes nothings perfect even heaven,boy thats a tough one
boy thats tough one,whats so tough about it of course i would pick cigarettes
whats tough course would pick cigarettes,but cigarettes taste much better when you have a cold beer
cigarettes taste much better cold beer,well you can not have everything
well everything,i do not think i want to go to your heaven
pants hole front pocket,you shouldnt carry pens in your pocket
shouldnt carry pens pocket,yesterday a pen fell through my pants onto my shoe
yesterday pen fell pants onto shoe,lucky for you it wasnt a sharp knife
lucky wasnt sharp knife,who carries a sharp knife in their pocket
carries sharp knife pocket,criminals of course
criminals course,anyway i have to fix the hole
anyway fix hole,you can sew it up or use an ironon patch
sew use ironon patch,tell me about this patch
tell patch,the patch has glue the hot iron melts the glue so the patch sticks on
patch glue hot iron melts glue patch sticks,that sounds a lot easier than sewing
sounds lot easier sewing,it is but after about ten washings the glue washes off
know good jokes,i can not remember jokes
remember jokes,neither can i
neither,they go in one ear and out the other
go one ear,who makes up all these jokes
makes jokes,who knows but there must be a hundred new ones every day
knows must hundred new ones every day,yes just in english alone
yes english alone,i wonder if every language has jokes
wonder every language jokes,of course people everywhere like good jokes
course people everywhere like good jokes,what do you think people joke about the most
think people joke,i think most jokes are about women
think jokes women,oh really i think most jokes are about men
youre lucky,why do you say that
say,you speak two languages
speak two languages,well my english is not perfect
well english perfect,no one speaks perfect english
one speaks perfect english,maybe i will be the first
maybe first,i have been thinking about learning spanish
thinking learning spanish,spanish is easy i will be happy to teach you
spanish easy happy teach,how long will it take me to learn
long take learn,i think it will only take you a year or two
think take year two,how soon can we begin
soon begin,ahora that means right now
know today,yes its april 22
yes april 22,its more than just a date
date,is it your birthday or anniversary
birthday anniversary,no its earth day
earth day,whats that
whats,its a yearly reminder to take care of our planet
yearly reminder take care planet,oh you mean like reuse things and recycle stuff
oh mean like reuse things recycle stuff,yes we need to think green save water and stop using plastic bags
yes need think green save water stop using plastic bags,how about if i take shorter showers
take shorter showers,thats a good idea because showers waste a lot of water
thats good idea showers waste lot water,from now on i will spend only 20 minutes in the shower
poetry sucks,i do not know anyone who likes it
dont know anyone likes,some of it is okay i guess
okay guess,yes the poems that rhyme and are easy to remember
yes poems rhyme easy remember,like one two buckle my shoe
like one two buckle shoe,but people still write poems
people still write poems,no one makes any money at it
one makes money,shakespeare was a poet
shakespeare poet,did he get rich from his poetry
get rich poetry,probably not
probably,poems are a little bit like songs
poems little bit like songs,yes but songs have music without music songs would suck too
smart,i do not know i think i am average
dont know think average,did you ever take an iq test
ever take iq test,no i never did all i know is that i got as and bs in school
never know got bs school,i wish i was really smart
wish really smart,do not be ridiculous
dont ridiculous,what do you mean
mean,if youre going to make a wish wish that you were really rich or famous
youre going make wish wish really rich famous,do not you ever wonder what its like to be supersmart
dont ever wonder like supersmart,it must be very lonely
must lonely,whys that
whys,because if youre supersmart no one understands what youre saying
missed tv news last night,nothing that would pass as news
nothing would pass news,whats the weather going to be like this weekend
whats weather going like weekend,i do not know whenever the weather comes on i switch channels
dont know whenever weather comes switch channels,what was the lead story on the news
lead story news,some actress was in court for driving without a license
actress court driving without license,what was the second story
second story,some actor married a woman young enough to be his daughter
actor married woman young enough daughter,what was the third story
third story,a bull chased a man in a supermarket
bull chased man supermarket,wasnt there anything about octomom
wasnt anything octomom,of course she is going to hire a nanny for her eight infants
going death,well mostly i will try to avoid it
well mostly try avoid,i mean are you going to get buried or cremated
mean going get buried cremated,my wife and i will be cremated
wife cremated,are you going to be buried next to each other
going buried next,oh no our ashes will be shaken into the ocean
oh ashes shaken ocean,youre not going to be buried
youre going buried,a coffin costs too much and takes up too much space
coffin costs much takes much space,yes but it will be in a cemetery where your children can visit you
yes cemetery children visit,children seldom visit their parents in a cemetery
children seldom visit parents cemetery,thats true a cemetery is for dead people not living people
thats true cemetery dead people living people,we figure our kids can visit us whenever they go to the beach
wipe feet,yes of course i wiped my feet
yes course wiped feet,then why is there mud on the carpet
mud carpet,i do not know its not my mud
dont know mud,well someone brought it into the house
well someone brought house,look at the bottom of my shoesâ—theyre clean
look bottom shoesâ—theyre clean,of course theyre clean you left all the mud on the carpet
course theyre clean left mud carpet,okay i will get the vacuum cleaner
okay get vacuum cleaner,do not vacuum it now
dont vacuum,do not you want me to clean up the mud
dont want clean mud,wait till it dries it will be easier to vacuum
wait till dries easier vacuum,next time i will be more careful
getting mom,what are you talking about
talking,sunday is mothers day
sunday mothers day,this sunday
sunday,of course its all over the news
course news,i thought it was next sunday
thought next sunday,well youd better get her something
well youd better get something,i will get her a nice card
get nice card,is that it
yes thats ever give,she raised you and all you ever give her is a card
raised ever give card,its okay she knows that i love her
dont like flag,whats the matter with it
whats matter,its too much like other flags
much like flags,yes a lot of flags have stripes
yes lot flags stripes,a flag should be pretty
flag pretty,what should our flag look like
flag look like,it should have a pretty woman on it
pretty woman,thats ridiculous
thats ridiculous,you do not like pretty women
dont like pretty women,of course i do but not on our flag
course flag,every nation should have a pretty woman on their flag
every nation pretty woman flag,you can not go to war carrying a flag with a woman on it
busy morning,what did you do
watered plants,you have a lot of plants
lot plants,then i did my laundry
laundry,that takes some time
takes time,i took the dog for a walk
took dog walk,i will bet he enjoyed his walk
bet enjoyed walk,i vacuumed the entire house
vacuumed entire house,thats a lot of work
thats lot work,and then i made lunch
made lunch,i will bet you were hungry
dont long distance service home phone,so how do you make long distance calls
make long distance calls,i use a calling card
use calling card,where do you get that
get,i buy it at the dollar store
buy dollar store,how much is it
much,its one dollar for 100 minutes
one dollar 100 minutes,thats only a penny a minute
thats penny minute,its a great price but you have to dial a lot of numbers
great price dial lot numbers,how many
many,first you dial seven numbers then ten numbers then ten more numbers
first dial seven numbers ten numbers ten numbers,yikes i think i will keep my long distance service
go college,yes i do
yes,what college do you go to
college go,i go to pasadena city college
go pasadena city college,do you like it
like,oh yes i really like it
oh yes really like,why do you like it
like,because it has great teachers
great teachers,what else
else,i like all my classmates too
like classmates,anything else
anything else,yes its not expensive
lost new pen,where did you lose it
lose,i do not know
dont know,when did you lose it
lose,i think i lost it today i used it yesterday
think lost today used yesterday,did you check all your pockets
check pockets,i checked all my pockets
checked pockets,did you look in your desk
look desk,yes it is not there either
yes either,its probably around somewhere
probably around somewhere,oh well it only cost me a dollar
oh well cost dollar,only a dollar do not even look for it
gravity important,what is gravity
gravity,its the force that pulls everything down
force pulls everything,i do not understand
dont understand,if you pour water into a glass the water goes down into the glass
pour water glass water goes glass,of course it does
course,without gravity the water would go up
without gravity water would go,youre joking
youre joking,without gravity you would go up
without gravity would go,what do you mean
mean,you would float into the sky like a balloon
would float sky like balloon,that would be fun
read book,turn on the light
turn light,the light is on
light,open the book
open book,the book is open
book open,see an eye doctor
see eye doctor,thats what i need to do
thats need,hell give you a prescription for glasses
hell give prescription glasses,i will make an appointment tomorrow
make appointment tomorrow,i will get the yellow pages for an eye doctor
get yellow pages eye doctor,read the phone number to me
read phone number,i will read it very loud in case your hearing is getting bad too
need school,i need pencils
need pencils,anything else
anything else,i need a notebook
need notebook,do you need a pen
need pen,no i already have a pen
already pen,do you need a calculator
need calculator,no the teacher doesnt permit calculators
teacher doesnt permit calculators,how about a dictionary
dictionary,no we have a big dictionary in the classroom
big dictionary classroom,well i guess thats it
well guess thats,yes thats all i need for now
like magazine,so do i
read subscribed,it gives you all the news
gives news,all the news in only 50 pages
news 50 pages,i like the political cartoons
like political cartoons,i like the beautiful photos of the houses for sale
like beautiful photos houses sale,i always read the film reviews
always read film reviews,i never miss the food and drink section
never miss food drink section,i gave a subscription to my parents
gave subscription parents,me too they canceled their other news magazines
canceled news magazines,so did mine
pen ink,shake it a couple of times
shake couple times,i shook it there is no more ink
shook ink,you can borrow mine
borrow mine,thank you i will buy a new one tomorrow
thank buy new one tomorrow,what were you doing
writing letter,who were you writing to
writing,its to my mom
mom,tell her i said hello
tell said hello,okay i will return your pen when i am done
okay return pen done,take your time
done homework,not yet
yet,then why are you watching tv
watching tv,this is my favorite show
favorite show,go do your homework
go homework,but mom
mom,you can watch tv after you do your homework
watch tv homework,but the show will be over
show,there will be another show next week
another show next week,please
please,you know the rules
know rules,i hate the rules i can not wait till i grow up
wait graduate,me too
homework,i hate homework
hate homework,are you going to college
going college,i can not afford it
afford,me neither
neither,so what are you going to do
going,i am joining the army
joining army,youre kidding you might get killed
youre kidding might get killed,i do not think so after i finish i will have enough money to go to college
dont think finish enough money go college,thats not a bad idea
major,english
english,what are you going to do with an english major
going english major,i am going to be a teacher
going teacher,high school or middle school
high school middle school,high school
high school,i teach high school english
